gene	tSNE_x	tSNE_y	D02_MDDC_Ifnb.resp.tsv	D03_MDDC_Ifnb.resp.tsv	D11_MDDC_Ifnb.resp.tsv	Interagrated	D02_MDDC_Ctrl_0h	D02_MDDC_Ifnb_1h	D02_MDDC_Ifnb_2h	D02_MDDC_Ifnb_4h	D02_MDDC_Ifnb_6h	D02_MDDC_Ifnb_12h	D02_MDDC_Ifnb_24h	D03_MDDC_Ctrl_0h	D03_MDDC_Ifnb_1h	D03_MDDC_Ifnb_2h	D03_MDDC_Ifnb_4h	D03_MDDC_Ifnb_6h	D03_MDDC_Ifnb_12h	D03_MDDC_Ifnb_24h	D11_MDDC_Ctrl_0h	D11_MDDC_Ifnb_1h	D11_MDDC_Ifnb_2h	D11_MDDC_Ifnb_4h	D11_MDDC_Ifnb_6h	D11_MDDC_Ifnb_12h	D11_MDDC_Ifnb_24h
AAED1	-8.27426254798	4.36143813208	4	5	2	6	26.91	34.27	43.25	79.22	80.77	73.64	66.46	27.88	32.57	59.09	75.68	77.0	52.57	47.17	31.0	38.66	40.62	76.37	67.01	67.71	60.86
ABCA1	-9.89512040232	9.5882464666	4	3	2	6	34.97	42.38	41.09	82.1	80.47	60.46	65.51	25.4	34.35	36.45	48.23	63.76	79.26	78.61	46.97	54.27	62.37	113.53	100.8	106.91	120.01
ABCC9	4.32326548104	-5.96426003987	2	0	1	3	2.49	7.05	4.87	3.84	2.53	1.95	2.13	1.91	4.0	2.88	1.95	2.3	2.78	3.13	5.12	4.55	6.08	3.93	5.02	4.72	4.75
ABCD1	-15.891398176	-1.40380452299	5	3	4	6	27.06	32.7	27.84	38.77	48.29	80.67	73.26	23.76	23.5	20.37	29.16	51.64	85.31	102.81	34.24	39.19	39.85	47.46	72.04	110.74	90.73
ABHD11-AS1	5.25656436172	12.5612975579	1	2	0	0	0.69	0.0	1.42	0.0	0.74	1.74	2.41	0.0	0.0	0.0	0.0	0.4	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD12	-10.8896974877	10.6640257632	4	3	4	6	121.02	161.58	142.68	169.56	170.97	152.23	195.19	104.07	116.09	104.09	118.95	168.17	201.24	220.0	94.64	105.65	107.89	126.46	139.38	159.19	158.79
ABHD14A-ACY1	7.14563802056	-5.44331186191	3	1	1	3	6.22	1.64	0.0	4.7	0.0	0.0	4.53	0.0	5.78	4.09	3.23	0.0	1.06	2.05	1.45	3.0	0.0	0.0	0.0	0.0	0.0
ABI1	-13.3946775044	7.46755216112	4	3	2	6	6.26	6.7	6.5	10.19	11.62	9.85	11.11	5.9	6.48	6.17	8.44	10.85	19.1	17.86	16.42	16.85	17.52	26.85	29.41	26.64	34.18
ABL2	3.2617175811	-4.42133060643	0	1	1	4	21.23	45.28	63.16	37.11	34.3	21.55	20.54	25.11	47.95	84.99	33.24	42.17	38.83	30.69	35.4	67.07	107.72	55.08	43.55	41.01	39.04
ABTB2	-12.1887820524	4.53769173651	4	3	4	6	0.44	0.42	1.18	15.68	18.22	12.35	11.94	0.48	0.39	1.27	9.33	18.99	19.61	18.46	0.16	0.34	1.44	14.12	22.04	22.37	14.07
ACOT7	-16.6051691646	-7.81222188804	1	2	3	6	59.78	58.82	56.33	57.58	77.43	154.02	226.4	76.26	74.17	76.19	86.67	123.64	220.81	326.11	35.54	37.52	43.3	42.72	67.39	143.15	162.98
ACOT9	-14.525916705	2.16529451735	4	3	4	6	43.63	47.16	57.02	111.32	156.94	154.83	145.89	44.09	45.86	54.08	103.55	175.99	174.67	140.91	36.1	38.3	48.69	90.11	138.79	119.51	105.01
ACP2	-17.0959442815	-6.64666038574	1	3	4	6	102.57	111.24	92.82	100.22	120.02	173.96	242.84	95.38	88.48	87.23	91.35	152.18	232.13	275.32	77.45	84.26	77.02	93.77	120.24	172.89	175.85
ACSL1	-9.15377356942	4.73793614764	4	3	2	6	86.63	122.63	159.41	343.97	326.25	299.13	265.83	97.82	130.35	193.93	224.82	227.12	225.0	194.64	84.83	112.77	188.99	392.45	332.31	339.71	292.56
ACSL4	-14.8218660982	-0.0297178173349	5	3	4	6	53.18	55.75	49.57	74.02	95.0	118.77	97.45	51.57	53.37	58.77	70.37	110.86	164.77	127.65	78.48	78.04	84.44	115.33	144.12	178.48	141.4
ACSM5	-17.1063761398	-6.9087553397	1	3	4	6	5.49	5.78	6.39	7.47	10.94	21.8	32.99	5.59	4.71	7.22	5.6	12.55	29.85	39.93	1.92	2.17	3.74	4.48	7.46	19.25	18.21
ACTA2	-15.319384878	-9.96527384658	1	2	3	0	19.91	20.8	15.41	17.7	20.86	50.43	81.41	17.55	15.11	15.66	16.49	20.95	36.01	77.36	31.84	32.05	31.25	25.47	35.19	73.24	86.47
ACTRT3	3.49495818065	-4.65606266411	2	1	1	4	0.55	2.61	2.5	1.22	0.59	0.85	1.37	0.55	0.78	1.34	0.6	0.45	0.63	0.69	1.31	2.25	2.78	1.42	0.92	0.82	1.02
ADAM17	-8.97787200628	10.0317246339	3	3	2	5	37.44	45.23	52.1	86.0	76.77	40.63	46.18	33.26	42.72	51.8	57.9	80.8	75.2	65.55	42.34	52.53	63.59	87.23	92.4	76.86	73.11
ADAMTSL4-AS1	-10.4291189021	10.9391381621	3	0	3	6	2.16	1.45	3.57	3.92	1.53	1.29	2.81	1.66	3.17	2.23	0.88	2.53	2.75	1.49	0.69	0.78	0.75	1.42	0.92	1.92	2.44
ADAP2	-17.5449575811	-6.73601561572	5	3	3	6	38.45	41.86	32.81	31.84	38.09	61.91	65.54	31.59	31.35	29.54	25.24	38.44	65.18	70.46	45.95	44.3	39.59	34.0	46.42	68.14	75.87
ADAR	-15.2995873354	4.09178158302	4	3	4	6	102.44	111.11	117.04	263.85	319.99	308.71	324.89	90.67	92.06	106.46	182.42	285.87	361.81	419.92	132.16	146.59	175.22	379.96	473.69	575.92	585.41
ADCY7	-14.0234668075	-0.397980348306	5	3	4	1	71.14	83.26	57.67	67.11	90.02	100.59	85.41	46.81	45.03	39.22	33.72	70.27	101.68	91.9	72.66	76.5	63.67	66.63	104.07	158.46	124.08
ADM	-7.34220924917	4.71937961506	4	5	2	5	7.21	9.19	48.64	71.84	59.19	36.49	44.56	6.92	8.44	65.39	98.49	112.32	57.55	48.87	4.72	6.21	34.36	57.62	46.89	31.61	27.41
ADM2	-12.2221634441	-11.978019098	1	2	3	0	3.21	4.31	3.17	4.0	3.13	4.81	8.86	4.05	3.87	3.19	2.58	3.52	3.61	10.29	4.89	5.94	6.51	5.14	5.62	6.92	10.7
ADPGK	-16.7365191096	-7.44621972398	5	2	3	6	109.24	115.51	115.16	120.85	137.01	190.24	224.89	115.51	118.66	118.11	115.33	138.92	217.45	268.47	120.94	124.32	128.51	140.91	160.14	215.83	252.14
ADPGK-AS1	0.207308390057	2.72702024407	0	2	1	4	2.17	5.12	6.07	3.5	2.45	3.26	4.61	2.4	4.79	4.96	2.5	3.48	2.78	5.53	2.05	5.58	6.26	3.27	2.34	2.63	5.48
ADPRH	-14.7296075734	-7.74820367409	1	2	3	6	13.23	16.19	15.92	21.24	21.05	24.14	33.9	11.35	13.9	14.67	14.06	16.75	27.99	36.64	14.03	14.79	14.09	17.0	20.74	35.87	44.3
ADPRHL2	-6.28547888039	5.99910930012	4	3	4	6	20.51	38.97	69.02	95.64	76.29	66.69	68.53	19.68	30.7	55.71	70.52	72.65	81.09	81.12	16.08	27.27	48.6	60.81	64.12	71.96	59.67
ADPRM	-4.15576094466	3.68696631907	4	1	3	4	5.18	6.05	7.68	7.75	9.54	8.87	12.06	7.12	10.22	13.12	10.65	11.67	9.77	12.03	4.22	4.35	7.69	8.37	3.59	6.29	8.69
ADRB2	-0.600315973567	-9.79773428685	0	2	3	0	4.37	5.58	7.19	4.54	4.68	3.86	4.97	1.56	3.56	2.51	3.65	2.38	3.65	5.99	3.17	3.27	3.36	4.18	4.67	6.29	7.45
AEN	-12.6106503347	-8.03989694471	1	2	3	6	4.95	5.91	9.12	10.71	9.01	9.11	14.24	4.27	4.85	5.42	6.1	7.36	9.09	13.19	5.84	7.04	9.0	10.67	9.99	12.72	19.17
AGAP9	-14.1716146074	-1.86630425872	5	3	4	6	0.99	2.26	2.93	1.45	2.63	3.17	2.28	0.88	1.29	1.85	1.11	2.38	2.37	3.56	0.0	0.0	0.18	0.0	0.0	0.84	0.39
AGPAT3	-15.3044377664	3.29567946673	4	3	4	6	44.02	50.76	40.12	56.16	62.34	62.29	66.5	34.85	36.29	32.58	41.54	61.78	81.68	86.16	44.81	52.95	49.07	67.72	84.2	101.44	91.29
AGRN	-17.3687475189	-6.33060026457	5	3	4	6	4.3	5.91	4.82	6.76	7.81	17.5	20.95	7.3	8.38	6.29	6.58	17.12	45.84	55.22	4.31	6.11	6.26	6.66	15.6	40.26	39.3
AGTRAP	-14.3617262664	-10.788073338	1	2	3	0	35.08	45.28	44.75	53.88	51.78	94.11	136.25	32.95	34.02	38.96	38.23	53.37	123.71	175.5	29.52	35.32	30.26	29.71	25.86	37.27	49.72
AHRR	-7.28223161946	8.37909650797	3	3	2	5	2.02	2.51	1.93	10.16	5.44	2.84	4.66	1.88	1.42	1.04	4.54	4.53	4.24	3.44	2.18	2.11	1.84	4.22	4.45	3.14	2.59
AIDA	-14.9756054605	1.96720723359	4	3	4	6	68.82	64.06	68.29	152.58	213.52	235.88	204.67	63.78	65.55	88.04	160.5	240.52	277.04	262.3	81.77	80.13	96.63	211.29	281.06	321.15	258.98
AIFM2	-15.0460046532	-10.1957110093	1	2	3	0	3.6	3.7	4.05	2.75	2.88	8.89	13.7	5.72	5.52	4.42	4.02	6.42	10.35	15.8	2.93	3.58	2.82	2.52	3.08	8.25	13.22
AIM2	-14.2945059467	-7.04708833385	1	3	3	6	0.42	0.88	3.17	10.57	15.22	19.12	33.69	0.34	0.7	3.63	15.64	21.8	25.24	41.08	0.38	0.32	3.68	9.7	11.34	13.35	24.83
AKAP2	-11.5128616672	4.60250148772	4	3	2	6	4.9	5.8	9.41	64.8	82.87	58.56	52.61	6.69	6.65	14.22	63.36	89.51	71.31	53.95	4.14	5.9	12.68	74.13	72.81	66.64	52.66
AKAP7	-15.7394655087	-4.33321201638	4	3	4	6	5.95	6.15	7.01	11.88	21.54	23.61	30.31	7.04	8.58	10.92	14.12	22.9	27.61	32.43	4.68	4.45	6.0	13.27	17.49	21.37	25.61
AKIRIN2	-7.80773741012	5.33762154655	4	5	2	5	119.15	131.36	148.66	241.21	264.54	219.91	233.94	143.0	139.3	169.51	214.28	207.76	174.87	213.17	157.53	156.3	182.53	291.55	242.29	216.91	211.02
ALDH1L2	-15.8608726774	-8.71971452962	1	2	3	0	21.27	23.0	18.65	24.15	25.87	36.16	47.7	11.83	11.06	11.13	11.32	13.61	26.25	40.13	24.3	24.66	23.16	26.35	29.93	56.24	65.28
ALG11	-6.87516612307	10.7316925775	2	0	4	3	3.46	4.5	4.2	3.84	2.16	0.97	1.73	1.18	3.24	1.12	2.47	6.03	1.38	1.15	0.54	0.86	0.0	0.0	1.48	2.7	0.0
ALKBH6	-8.53395772578	-14.5223320963	0	2	2	0	2.92	3.62	7.01	4.22	2.91	2.09	4.75	4.56	5.92	4.08	5.32	2.33	2.48	7.32	7.06	4.13	5.5	9.11	3.55	3.41	5.48
ALMS1P	-15.6193136836	-9.5620597276	1	2	3	0	0.1	0.0	0.22	0.11	0.84	1.91	2.81	0.0	0.08	0.11	0.09	1.02	0.98	3.56	0.0	0.0	0.0	0.45	1.27	3.56	5.68
AMD1	-11.4911912939	0.141911394803	4	3	4	6	61.09	88.68	118.52	129.65	162.85	152.19	129.13	91.12	95.65	138.15	118.66	165.76	174.28	130.33	88.46	90.46	116.95	124.19	139.51	171.43	124.11
AMDHD2	-8.61127790937	-14.0514873672	1	2	3	0	32.58	45.86	38.93	37.27	23.07	28.05	50.56	36.14	44.72	41.3	31.84	23.48	52.77	77.24	18.39	24.45	25.75	22.04	16.47	26.34	36.73
AMER1	-9.41801672063	9.61933683162	3	3	2	5	1.19	1.27	1.84	4.75	3.9	1.97	2.66	0.92	0.9	0.96	2.34	2.45	3.17	3.54	1.38	1.18	1.79	5.44	5.6	5.24	4.39
AMOTL2	-7.53375188235	6.19030833828	4	5	2	5	0.0	2.04	6.43	9.71	10.75	4.15	4.27	0.0	0.98	2.84	4.43	7.33	3.96	4.7	0.0	0.64	2.61	5.1	7.93	4.43	3.27
ANGPTL6	4.62234765304	-5.04676258966	2	0	1	3	1.69	4.43	4.96	2.37	1.72	1.77	0.67	2.53	2.52	2.5	2.65	1.84	1.82	1.98	1.34	1.59	2.21	1.15	1.25	1.11	0.22
ANKFY1	-14.8713982602	3.24123200608	4	3	4	6	30.52	33.44	26.64	56.31	69.72	64.86	60.14	25.39	26.7	21.98	36.25	64.03	96.33	89.53	32.82	34.8	33.39	71.19	92.04	124.58	109.67
ANKIB1	-16.997231235	-4.73419776788	4	3	4	6	14.32	17.89	14.66	19.58	23.82	26.39	28.57	14.93	16.14	15.71	15.76	23.72	33.94	40.66	19.22	19.45	16.76	21.57	26.75	39.45	40.58
ANKMY2	-14.4473469597	-7.4185478867	1	3	3	6	17.72	19.03	18.7	24.07	25.09	28.02	36.03	17.05	19.26	22.81	24.85	25.93	34.18	40.05	18.65	18.69	21.78	23.76	23.89	34.75	45.03
ANKRD22	-7.12566245313	4.58610782595	4	5	2	6	0.16	0.37	1.64	2.48	2.01	2.26	2.24	0.07	0.1	0.89	1.38	0.9	0.74	1.11	0.27	0.88	2.79	7.37	5.38	6.83	5.5
ANKRD28	4.27031294788	-4.36211291	0	1	1	4	3.06	4.82	7.27	6.11	2.52	0.94	1.86	4.41	6.66	10.27	5.94	1.89	1.01	2.0	2.77	4.17	7.13	4.2	1.73	0.84	1.95
ANKRD29	-14.513796077	-6.38618050124	5	3	3	6	8.53	8.04	7.94	11.36	14.3	22.52	24.1	10.12	11.29	12.64	13.56	16.76	16.17	17.4	10.31	11.5	10.82	17.03	15.63	17.96	26.14
ANKRD30BL	-6.9378016267	10.6613320757	3	0	4	3	0.66	1.45	0.68	3.11	0.83	0.65	0.88	0.28	1.27	0.63	0.63	0.64	0.19	0.21	0.0	0.0	0.0	0.0	0.0	0.1	0.0
ANKRD53	-16.9389713464	-7.00107679456	5	2	4	6	0.0	0.0	0.08	0.46	1.94	6.39	8.05	0.05	0.0	0.09	1.12	1.54	5.16	10.93	0.14	0.15	0.0	0.59	2.11	3.84	4.07
ANO5	-14.2490122853	2.54155682113	4	3	4	6	0.58	0.78	0.79	2.93	4.97	3.84	3.33	0.59	0.39	0.82	1.13	2.65	3.19	2.55	0.28	0.2	0.14	1.67	3.71	4.73	3.63
ANTXR2	-8.90936387885	10.2779982436	3	3	2	5	31.3	41.33	40.95	62.19	49.41	30.51	37.97	24.91	31.72	28.6	35.16	48.65	45.78	49.21	35.45	43.57	49.45	69.72	58.4	64.11	73.36
ANXA1	-9.82503294925	2.4074082794	4	5	2	6	396.35	434.79	515.68	809.34	1198.11	988.16	743.78	374.9	403.34	643.02	1073.14	1331.82	813.85	524.83	173.9	218.45	284.84	417.39	467.96	334.85	322.62
ANXA2P3	-16.8363229468	-2.34965209609	1	3	4	6	5.14	5.75	5.21	2.79	6.12	5.2	8.33	6.3	3.61	4.51	4.19	4.97	27.82	19.74	4.99	4.91	4.82	3.19	7.01	4.0	3.02
ANXA2R	-1.19815717492	3.59469956704	0	3	2	4	1.0	9.06	22.07	17.34	16.69	16.1	15.6	0.87	5.58	17.91	19.21	18.76	18.7	14.63	0.33	6.01	9.17	9.94	7.82	11.15	9.96
ANXA4	-17.2243354004	-6.61753507703	5	3	4	6	222.34	240.68	242.29	251.63	297.46	500.27	610.81	342.19	354.55	386.61	367.99	435.12	603.86	628.94	170.19	176.98	174.87	187.95	230.03	330.12	356.65
AOAH	-9.13613736255	-14.1691398889	1	2	3	0	49.98	50.1	41.0	39.03	29.23	37.48	61.18	17.06	15.95	14.7	10.8	14.28	18.58	38.74	40.47	46.55	43.64	33.9	38.12	59.49	97.27
AP5B1	-5.32859980658	5.44996751194	3	3	2	6	18.65	28.0	35.48	55.54	41.3	33.49	42.22	23.27	26.77	39.64	42.7	43.58	52.28	67.92	25.23	37.76	51.32	68.13	49.6	55.37	69.83
APBA3	-9.29391897057	-13.3501254147	1	2	3	0	5.51	7.26	5.75	3.77	2.33	5.36	7.18	4.8	5.65	3.39	2.55	3.33	6.84	10.62	3.44	3.09	4.29	3.07	3.13	4.74	5.65
APBB2	-12.3723230297	-12.014845329	1	2	3	0	2.62	3.29	2.92	3.58	2.22	5.23	8.27	0.56	0.8	0.3	0.4	0.4	0.76	2.24	0.44	0.83	0.79	0.57	0.5	1.08	2.63
APBB3	-11.8759160184	-12.2087046117	1	2	3	0	1.02	1.14	0.91	0.84	0.31	0.92	2.12	1.36	1.22	1.34	1.12	0.51	1.39	3.73	0.9	0.8	1.22	0.33	0.71	1.86	3.11
APOBEC3A	-15.6218258863	-0.812335975511	5	3	4	6	67.28	102.67	338.24	1367.89	3118.09	6845.04	5513.13	15.07	20.37	82.2	419.6	1195.54	2161.11	1926.64	30.32	54.57	463.89	2009.84	4224.01	6721.84	5144.64
APOBEC3A_B	4.44221266405	6.55097046429	2	3	0	1	0.1	1.12	0.0	0.0	0.0	0.0	0.0	1.79	3.2	9.07	112.24	514.35	1423.49	1128.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APOBEC3B	-8.83677497159	11.7873931237	2	3	4	6	1.14	1.61	0.9	1.43	1.24	1.51	0.0	0.01	0.31	0.59	2.25	3.45	4.22	5.87	1.38	1.48	1.06	3.49	2.51	4.99	2.58
APOBEC3B-AS1	-12.9725113731	-3.21320568207	5	5	4	1	0.23	1.06	0.94	0.0	1.71	3.06	1.0	0.15	0.19	0.78	1.08	0.52	0.21	0.45	0.0	0.0	0.0	0.0	0.0	0.42	0.21
APOBEC3C	-14.7547268547	-0.773062400975	5	3	4	6	54.91	64.05	46.72	58.24	82.69	102.51	86.91	50.6	46.38	46.68	42.29	82.68	106.39	110.01	114.85	104.85	96.59	110.09	159.16	243.19	203.12
APOBEC3D	-13.3050149509	-11.4911045422	1	2	3	0	1.82	1.72	2.0	2.36	2.2	2.39	4.53	1.13	1.65	0.78	0.71	2.27	3.3	7.02	1.45	1.66	1.47	1.54	2.64	7.07	9.67
APOBEC3F	-15.1183005694	0.57484160824	5	3	4	6	3.3	4.28	10.93	22.47	22.86	37.34	31.67	3.49	4.98	6.61	14.01	31.18	29.94	19.84	2.31	3.29	6.78	17.18	31.84	41.71	29.94
APOBEC3G	-14.9303281353	3.22111858338	4	3	4	6	14.72	18.95	32.67	135.31	184.75	176.7	169.85	13.47	15.88	25.7	110.22	181.67	212.72	198.41	15.6	20.01	29.18	117.42	220.24	251.82	233.62
APOBEC3H	-13.3446059225	-11.5009322236	1	2	3	0	1.82	0.6	1.55	0.94	1.35	2.41	8.08	0.48	0.63	0.52	0.58	0.7	2.18	4.91	0.96	1.62	2.03	1.23	2.61	5.06	8.7
APOD	-15.5378855648	-9.83283846957	5	2	3	0	3.78	2.67	3.17	2.76	3.0	18.32	22.42	1.69	1.39	0.64	2.4	0.96	4.28	7.24	19.6	12.3	14.93	14.87	23.83	35.53	53.69
APOL1	-14.9527615738	-1.30091603619	5	3	4	6	8.19	11.58	17.46	18.76	36.04	116.75	88.6	7.57	7.84	18.21	18.68	68.01	123.24	100.65	8.11	10.78	21.41	27.71	69.52	155.04	105.0
APOL2	-11.0196010781	5.9745983601	3	3	2	6	39.6	42.52	70.58	231.42	179.91	158.3	138.18	36.46	35.6	66.23	170.73	189.69	169.11	140.15	47.65	47.55	101.65	281.39	297.74	264.8	210.32
